recipient_county_name,recipient_congressional_district,implan_code,County/Districtistrict/Both?,new_implan_code,imp_code_diff,formula
ALAMEDA,12,173,District,174,1,174
ALAMEDA,12,188,Both,192,4,192
ALAMEDA,12,217,Both,216,1,216
ALAMEDA,12,245,District,246,1,246
ALAMEDA,12,254,Both,259,5,259
ALAMEDA,12,257,County,259,2,259
ALAMEDA,12,258,District,259,1,259
ALAMEDA,12,295,Both,296,1,
ALAMEDA,12,352,District,347,5,347
ALAMEDA,12,353,District,347,6,347
ALAMEDA,12,363,Both,361,2,361
ALAMEDA,12,221,District,218,3,
ALAMEDA,12,238,District,240,2,
ALAMEDA,14,254,Both,259,5,259
ALAMEDA,14,257,District,259,2,259
ALAMEDA,14,241,County,240,1,242
ALAMEDA,14,242,County,240,1,242
ALAMEDA,14,388,County,391,3,
ALAMEDA,17,188,Both,193,5,
ALAMEDA,17,254,County,259,5,259
ALAMEDA,17,257,Both,259,2,259
ALAMEDA,17,282,District,284,2,
AMADOR,5,358,County,356,2,
BUTTE,1,103,County,98,5,98
BUTTE,1,235,County,236,1,
BUTTE,1,273,Both,275,2,
BUTTE,1,376,County,378,2,378
BUTTE,1,377,County,378,1,378
CALAVERAS,5,475,County,478,3,478
CONTRA COSTA,8,303,County,301,2,301
CONTRA COSTA,8,312,County,311,1,
CONTRA COSTA,8,369,County,368,1,
CONTRA COSTA,8,386,Both,391,5,
CONTRA COSTA,8,173,District,174,1,174
CONTRA COSTA,10,210,County,209,1,
CONTRA COSTA,10,234,Both,291,57,291
CONTRA COSTA,10,244,Both,243,1,243
CONTRA COSTA,10,273,Both,274,1,
CONTRA COSTA,10,286,County,285,1,285
CONTRA COSTA,10,288,Both,287,1,
CONTRA COSTA,10,303,Both,302,1,
CONTRA COSTA,10,312,County,310,2,310
EL DORADO,5,195,County,196,1,196
EL DORADO,5,216,County,215,1,
EL DORADO,5,217,County,215,2,215
EL DORADO,5,222,Both,215,7,
EL DORADO,5,225,County,231,6,231
EL DORADO,5,244,County,259,15,259
EL DORADO,5,245,County,259,14,259
EL DORADO,5,254,Both,259,5,259
EL DORADO,5,257,Both,259,2,259
EL DORADO,5,258,County,259,1,259
EL DORADO,5,281,County,279,2,
EL DORADO,5,282,Both,279,3,
EL DORADO,5,283,County,285,2,285
EL DORADO,5,298,Both,303,5,
EL DORADO,5,330,County,352,18,
EL DORADO,5,349,County,352,3,
EL DORADO,5,355,Both,354,1,354
EL DORADO,5,358,County,356,2,356
FRESNO,5,364,County,363,1,
FRESNO,21,238,County,236,2,
HUMBOLDT,2,162,Both,154,8,
HUMBOLDT,2,176,Both,185,9,
HUMBOLDT,2,188,County,193,5,193
HUMBOLDT,2,196,Both,193,3,193
HUMBOLDT,2,230,County,237,7,
HUMBOLDT,2,245,County,246,1,246
HUMBOLDT,2,248,County,247,1,
HUMBOLDT,2,252,County,250,2,250
HUMBOLDT,2,257,Both,247,10,247
HUMBOLDT,2,270,County,269,1,269
HUMBOLDT,2,271,County,269,2,269
HUMBOLDT,2,272,County,297,25,297
HUMBOLDT,2,303,County,298,5,
HUMBOLDT,2,314,County,298,16,298
HUMBOLDT,2,364,Both,361,3,361
HUMBOLDT,2,376,County,378,2,
HUMBOLDT,2,377,County,378,1,
HUMBOLDT,2,481,County,482,1,
IMPERIAL,25,154,County,163,9,
IMPERIAL,25,242,Both,236,6,
INYO,3,376,Both,381,12,
INYO,3,388,Both,381,7,
KERN,20,39,County,46,7,46
KERN,20,120,Both,121,1,
KERN,20,131,Both,130,1,
KERN,20,148,County,151,3,
KERN,20,160,County,162,2,
KERN,20,165,Both,163,2,
KERN,20,186,County,193,7,
KERN,20,195,County,196,1,
KERN,20,210,Both,209,1,
