recipient_county_name,recipient_congressional_district,implan_code,county/district/both?,new_implan_code,implan_code_diff
ALAMEDA,12,165,district,166,1
ALAMEDA,12,180,both,184,4
ALAMEDA,12,209,both,208,1
ALAMEDA,12,216,both,218,2
ALAMEDA,12,237,district,238,1
ALAMEDA,12,246,both,251,5
ALAMEDA,12,249,county,251,2
ALAMEDA,12,250,district,251,1
ALAMEDA,12,269,both,273,4
ALAMEDA,12,335,district,330,5
ALAMEDA,12,336,district,330,6
ALAMEDA,12,346,both,344,2
ALAMEDA,14,17,district,18,1
ALAMEDA,14,33,county,29,4
ALAMEDA,14,213,both,210,3
ALAMEDA,14,214,both,210,4
ALAMEDA,14,233,district,236,3
ALAMEDA,14,246,both,251,5
ALAMEDA,14,249,county,251,2
ALAMEDA,14,327,both,325,2
ALAMEDA,14,371,county,374,3
ALAMEDA,17,180,both,185,5
ALAMEDA,17,246,county,251,5
ALAMEDA,17,249,both,251,2
ALAMEDA,17,330,district,331,1
ALAMEDA,17,346,county,347,1
BUTTE,1,262,both,264,2
BUTTE,1,360,county,361,1
CALAVERAS,5,167,county,182,15
CALAVERAS,5,457,county,460,3
CONTRA COSTA,8,165,district,166,1
CONTRA COSTA,8,224,county,223,1
CONTRA COSTA,8,298,county,299,1
CONTRA COSTA,8,369,both,374,5
CONTRA COSTA,10,130,both,131,1
CONTRA COSTA,10,202,county,201,1
CONTRA COSTA,10,226,both,280,54
CONTRA COSTA,10,236,both,235,1
CONTRA COSTA,10,275,county,274,1
CONTRA COSTA,10,277,both,276,1
CONTRA COSTA,10,290,district,292,2
CONTRA COSTA,10,370,district,374,4
EL DORADO,5,187,county,188,1
EL DORADO,5,206,county,207,1
EL DORADO,5,209,county,207,2
EL DORADO,5,216,county,223,7
EL DORADO,5,217,county,223,6
EL DORADO,5,237,county,251,14
EL DORADO,5,244,county,240,4
EL DORADO,5,246,both,251,5
EL DORADO,5,249,both,251,2
EL DORADO,5,250,county,251,1
EL DORADO,5,270,both,268,2
EL DORADO,5,271,both,268,3
EL DORADO,5,272,county,274,2
EL DORADO,5,278,county,277,1
EL DORADO,5,287,both,292,5
EL DORADO,5,315,county,335,20
EL DORADO,5,316,county,335,19
EL DORADO,5,338,county,335,3
EL DORADO,5,341,both,339,2
EL DORADO,5,346,county,344,2
FRESNO,5,263,county,264,1
FRESNO,5,347,county,346,1
FRESNO,5,359,county,360,1
FRESNO,20,359,county,360,1
FRESNO,21,270,both,272,2
FRESNO,21,275,county,274,1
HUMBOLDT,2,114,county,116,2
HUMBOLDT,2,115,both,116,1
HUMBOLDT,2,120,county,123,3
HUMBOLDT,2,168,both,177,9
HUMBOLDT,2,180,county,185,5
HUMBOLDT,2,185,county,189,4
HUMBOLDT,2,188,both,185,3
HUMBOLDT,2,222,county,229,7
HUMBOLDT,2,237,county,238,1
HUMBOLDT,2,244,county,242,2
HUMBOLDT,2,249,both,239,10
HUMBOLDT,2,251,county,239,12
HUMBOLDT,2,295,both,287,8
HUMBOLDT,2,302,county,308,6
HUMBOLDT,2,315,both,312,3
HUMBOLDT,2,347,both,344,3
IMPERIAL,25,347,county,337,10
KERN,20,120,both,122,2
KERN,20,123,both,122,1
KERN,20,130,both,129,1
KERN,20,140,county,143,3
KERN,20,152,county,154,2
KERN,20,178,county,185,7
KERN,20,187,county,188,1
KERN,20,202,both,201,1
KERN,20,215,both,217,2
KERN,20,216,county,217,1
KERN,20,224,both,220,4
KERN,20,227,county,228,1
KERN,20,233,county,234,1
KERN,20,237,both,238,1
KERN,20,264,county,273,9
KERN,20,269,county,273,4
KERN,20,272,county,273,1
KERN,20,289,both,287,2
KERN,20,304,county,303,1
KERN,20,316,both,314,2
KERN,20,320,county,318,2
KERN,20,321,county,318,3
KERN,20,323,county,314,9
KERN,20,370,both,374,4
KERN,22,237,both,238,1
KERN,22,323,county,318,5
KINGS,22,240,county,239,1
LAKE,4,249,both,251,2
LAKE,4,291,county,287,4
LOS ANGELES,27,68,both,69,1
LOS ANGELES,27,100,district,98,2
LOS ANGELES,27,115,district,116,1
LOS ANGELES,27,120,district,119,1
LOS ANGELES,27,139,district,143,4
LOS ANGELES,27,151,district,150,1
LOS ANGELES,27,168,district,171,3
LOS ANGELES,27,216,district,214,2
LOS ANGELES,27,218,district,217,1
LOS ANGELES,27,224,district,220,4
LOS ANGELES,27,227,district,228,1
LOS ANGELES,27,271,district,273,2
LOS ANGELES,27,272,district,273,1
LOS ANGELES,27,279,district,278,1
LOS ANGELES,27,287,district,289,2
LOS ANGELES,27,307,district,306,1
LOS ANGELES,27,319,district,320,1
LOS ANGELES,29,33,district,32,1
LOS ANGELES,29,108,district,106,2
LOS ANGELES,29,115,district,116,1
LOS ANGELES,29,179,district,180,1
LOS ANGELES,29,182,district,183,1
LOS ANGELES,29,187,district,188,1
LOS ANGELES,29,224,district,220,4
LOS ANGELES,29,246,district,251,5
LOS ANGELES,29,249,district,248,1
LOS ANGELES,29,263,district,264,1
LOS ANGELES,29,270,district,273,3
LOS ANGELES,29,272,district,273,1
LOS ANGELES,29,275,district,274,1
LOS ANGELES,29,300,district,299,1
LOS ANGELES,29,304,district,303,1
LOS ANGELES,29,310,district,311,1
LOS ANGELES,29,314,district,315,1
LOS ANGELES,29,326,district,327,1
LOS ANGELES,29,337,district,338,1
LOS ANGELES,29,341,district,339,2
LOS ANGELES,29,344,district,347,3
LOS ANGELES,29,346,district,347,1
LOS ANGELES,30,151,district,150,1
LOS ANGELES,30,182,district,185,3
LOS ANGELES,30,187,district,188,1
LOS ANGELES,30,236,district,235,1
LOS ANGELES,30,246,district,251,5
LOS ANGELES,30,271,district,273,2
LOS ANGELES,30,272,district,273,1
LOS ANGELES,30,275,district,274,1
LOS ANGELES,30,304,district,303,1
LOS ANGELES,30,310,district,311,1
LOS ANGELES,30,314,district,315,1
LOS ANGELES,30,319,district,320,1
LOS ANGELES,30,341,district,340,1
LOS ANGELES,30,369,district,374,5
LOS ANGELES,31,106,district,105,1
LOS ANGELES,31,157,district,154,3
LOS ANGELES,31,174,district,177,3
LOS ANGELES,31,247,both,248,1
LOS ANGELES,31,249,district,251,2
LOS ANGELES,31,254,district,255,1
LOS ANGELES,31,271,district,273,2
